Instance,Actual,Predicted
1,0,1
2,1,1
3,0,1
4,0,1
5,1,1
6,1,1
7,1,1
8,0,1
9,1,1
10,1,1
11,1,1
12,1,1
13,0,1
14,1,1
15,1,1
16,0,1
17,1,1
18,0,1
19,1,1
20,0,1
21,1,1
22,0,1
23,1,1
24,1,1
25,1,1
26,1,1
27,0,1
28,0,1
29,1,1
30,0,1
31,1,1
32,0,1
33,0,1
34,1,1
35,1,1
36,0,1
37,0,1
38,0,1
39,1,1
40,0,1
41,0,1
42,0,1
43,1,1
44,1,1
45,1,1
46,0,1
47,0,1
48,1,1
49,0,1
50,1,1
51,1,1
52,0,1
53,0,1
54,0,1
55,0,1
56,1,1
57,1,1
58,0,1
59,0,1
60,1,1
61,0,1
62,1,1
63,0,1
64,1,1
65,1,1
66,1,1
67,0,1
68,1,1
69,0,1
70,0,1
71,0,1
72,1,1
73,1,1
74,1,1
75,0,1
76,0,1
77,0,1
78,1,1
79,1,1
80,0,1
81,0,1
82,1,1
83,0,1
84,0,1
85,1,1
86,0,1
87,1,1
88,1,1
89,0,1
90,1,1
91,1,1
92,0,1
93,1,1
94,0,1
95,0,1
96,0,1
97,1,1
98,0,1
99,1,1
100,0,1
101,0,1
102,0,1
103,0,1
104,0,1
105,0,1
106,1,1
107,1,1
108,0,1
109,1,1
110,1,1
111,0,1
112,1,1
113,1,1
114,0,1
115,0,1
116,1,1
117,0,1
118,0,1
119,0,1
120,0,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,0,1
129,1,1
130,1,1
131,0,1
132,1,1
133,1,1
134,0,1
135,1,1
136,1,1
137,1,1
138,1,1
139,0,1
140,0,1
141,0,1
142,0,1
143,1,1
144,1,1
145,0,1
146,0,1
147,0,1
148,1,1
149,0,1
150,0,1
151,1,1
152,0,1
153,1,1
154,1,1
155,0,1
156,0,1
157,1,1
158,1,1
159,0,1
160,0,1
161,0,1
162,1,1
163,0,1
164,0,1
165,1,1
166,1,1
167,0,1
168,0,1
169,1,1
170,0,1
171,1,1
172,0,1
173,1,1
174,0,1
175,1,1
176,1,1
177,0,1
178,0,1
179,1,1
180,1,1
181,1,1
182,1,1
183,1,1
184,1,1
185,1,1
186,1,1
187,0,1
188,0,1
189,1,1
190,0,1
191,1,1
192,1,1
193,0,1
194,0,1
195,1,1
196,0,1
197,1,1
198,0,1
199,0,1
200,1,1
201,1,1
202,0,1
203,1,1
204,0,1
205,0,1
206,1,1
207,1,1
208,0,1
209,0,1
210,0,1
211,0,1
212,1,1
213,1,1
214,0,1
215,1,1
216,1,1
217,0,1
218,0,1
219,1,1
220,1,1
221,0,1
222,1,1
223,0,1
224,0,1
225,0,1
226,0,1
227,0,1
228,1,1
229,0,1
230,1,1
231,1,1
232,1,1
233,1,1
234,0,1
235,1,1
236,0,1
237,1,1
238,0,1
239,1,1
240,1,1
241,0,1
242,1,1
243,0,1
244,0,1
245,0,1
246,1,1
247,1,1
248,1,1
249,1,1
250,0,1
251,1,1
252,0,1
253,1,1
254,1,1
255,1,1
256,0,1
257,0,1
258,1,1
259,0,1
260,0,1
261,0,1
262,0,1
263,1,1

=== Evaluation Summary ===
Correctly Classified Instances: 133
Incorrectly Classified Instances: 130
Accuracy: 50.57%

=== Confusion Matrix ===
Actual \ Predicted,0,1
0,0,130
1,0,133
